config_id,approach,step_dist,add_dist,confirm_dist,max_adds,add_size,cycle_count,win_count,loss_count,win_rate,gross_pnl,net_pnl,total_costs,npf_gross,npf_net,avg_win_net,avg_loss_net,max_drawdown_ticks,profit_per_dd,max_position,avg_cycle_duration_bars,cycles_0_adds,cycles_1_add,cycles_multi_add,pnl_0_adds,pnl_1_add,pnl_multi_add,flatten_reseed_would_fire,incomplete_cycles,incomplete_unrealized_pnl
B_SD40_AD40.0_MA4,B,40.0,40.0,0.0,4,1,784,605,179,0.7716836734693877,48383.0,42567.0,5816.0,1.9944,1.8293,155.1967,-286.743,2674.0,15.9188,5,23454.2,424,181,179,66275.0,27619.0,-51327.0,89,59,-58304.0
B_SD50_AD20.0_MA1,B,50.0,20.0,0.0,1,1,235,235,0,1.0,65426.0,63874.0,1552.0,999.0,999.0,271.8043,0.0,0.0,999.0,2,44269.53,82,153,0,16098.0,47776.0,0.0,63,59,-63115.0
B_SD50_AD20.0_MA2,B,50.0,20.0,0.0,2,1,316,316,0,1.0,94938.0,92278.0,2660.0,999.0,999.0,292.019,0.0,0.0,999.0,3,33974.33,95,93,128,18628.0,29058.0,44592.0,80,59,-93566.0
B_SD50_AD20.0_MA3,B,50.0,20.0,0.0,3,1,357,357,0,1.0,104838.0,101314.0,3524.0,999.0,999.0,283.7927,0.0,0.0,999.0,4,31409.69,100,92,165,19612.0,28713.0,52989.0,102,59,-114665.0
B_SD50_AD20.0_MA4,B,50.0,20.0,0.0,4,1,421,421,0,1.0,114670.0,110090.0,4580.0,999.0,999.0,261.4964,0.0,0.0,999.0,5,30355.57,112,104,205,21963.0,32473.0,55654.0,130,59,-130806.0
B_SD50_AD25.0_MA1,B,50.0,25.0,0.0,1,1,238,238,0,1.0,61964.0,60440.0,1524.0,999.0,999.0,253.9496,0.0,0.0,999.0,2,43619.6,95,143,0,18628.0,41812.0,0.0,49,59,-61862.0
B_SD50_AD25.0_MA2,B,50.0,25.0,0.0,2,1,321,321,0,1.0,85383.0,82807.0,2576.0,999.0,999.0,257.9657,0.0,0.0,999.0,3,34839.41,110,99,112,21579.0,28932.0,32296.0,65,59,-87879.0
B_SD50_AD25.0_MA3,B,50.0,25.0,0.0,3,1,389,389,0,1.0,95103.0,91511.0,3592.0,999.0,999.0,235.2468,0.0,0.0,999.0,4,33211.99,125,111,153,24521.0,32442.0,34548.0,92,59,-107307.0
B_SD50_AD25.0_MA4,B,50.0,25.0,0.0,4,1,471,391,80,0.8301486199575372,96741.0,92097.0,4644.0,48371.5,58.4888,239.6394,-20.025,78.0,1180.7308,5,31041.07,167,117,187,32778.0,34192.0,25127.0,119,59,-114478.0
B_SD50_AD50.0_MA1,B,50.0,50.0,0.0,1,1,272,272,0,1.0,54476.0,52956.0,1520.0,999.0,999.0,194.6912,0.0,0.0,999.0,2,40649.5,164,108,0,32174.0,20782.0,0.0,19,59,-60198.0
B_SD50_AD50.0_MA2,B,50.0,50.0,0.0,2,1,361,285,76,0.7894736842105263,57082.0,54710.0,2372.0,2037.6429,62.8891,195.0667,-11.6316,38.0,1439.7368,3,38087.83,205,80,76,40236.0,15358.0,-884.0,31,59,-70183.0
B_SD50_AD50.0_MA3,B,50.0,50.0,0.0,3,1,428,331,97,0.7733644859813084,47131.0,44071.0,3060.0,3.4642,3.1517,195.0242,-211.1546,1490.0,29.5779,4,35656.93,236,95,97,46294.0,18259.0,-20482.0,48,59,-70742.0
B_SD50_AD50.0_MA4,B,50.0,50.0,0.0,4,1,459,352,107,0.7668845315904139,35143.0,31735.0,3408.0,1.995,1.8596,195.0341,-345.0187,3349.0,9.476,5,35812.77,251,101,107,49229.0,19423.0,-36917.0,57,59,-69804.0
C_SD15_CD10.5_MA1,C,15.0,0.0,10.5,1,1,567,567,0,1.0,44358.0,39822.0,4536.0,999.0,999.0,70.2328,0.0,0.0,999.0,2,16449.99,0,567,0,0.0,39822.0,0.0,0,60,-48802.0
C_SD15_CD6.0_MA1,C,15.0,0.0,6.0,1,1,567,567,0,1.0,54505.0,49969.0,4536.0,999.0,999.0,88.1287,0.0,0.0,999.0,2,16449.99,0,567,0,0.0,49969.0,0.0,0,60,-59552.0
C_SD15_CD6.0_MA2,C,15.0,0.0,6.0,2,1,567,567,0,1.0,61262.0,54462.0,6800.0,999.0,999.0,96.0529,0.0,0.0,999.0,3,16449.99,0,1,566,0.0,123.0,54339.0,0,60,-68759.0
C_SD15_CD7.5_MA1,C,15.0,0.0,7.5,1,1,567,567,0,1.0,51078.0,46542.0,4536.0,999.0,999.0,82.0847,0.0,0.0,999.0,2,16449.99,0,567,0,0.0,46542.0,0.0,0,60,-57718.0
C_SD15_CD9.0_MA1,C,15.0,0.0,9.0,1,1,567,567,0,1.0,47710.0,43174.0,4536.0,999.0,999.0,76.1446,0.0,0.0,999.0,2,16449.99,0,567,0,0.0,43174.0,0.0,0,60,-54123.0
C_SD20_CD10.0_MA1,C,20.0,0.0,10.0,1,1,410,410,0,1.0,49226.0,45946.0,3280.0,999.0,999.0,112.0634,0.0,0.0,999.0,2,21945.77,0,410,0,0.0,45946.0,0.0,0,59,-60544.0
C_SD20_CD12.0_MA1,C,20.0,0.0,12.0,1,1,410,410,0,1.0,45953.0,42673.0,3280.0,999.0,999.0,104.0805,0.0,0.0,999.0,2,21945.77,0,410,0,0.0,42673.0,0.0,0,59,-59426.0
C_SD20_CD14.0_MA1,C,20.0,0.0,14.0,1,1,410,410,0,1.0,42703.0,39423.0,3280.0,999.0,999.0,96.1537,0.0,0.0,999.0,2,21945.77,0,410,0,0.0,39423.0,0.0,0,59,-54905.0
